"","MedianHomeValue2000","MedianHomeValue2010","MHV.Change.00.to.10","MHV.Growth.00.to.12"
"1",762847.627292595,948200,185352.372707405,24.2974305845631
"2",440684.095490075,758900,318215.904509925,72.2095278151675
"3",440684.10180397,587900,147215.89819603,33.4062194650072
"4",357572.625,473600,116027.375,32.4486179555831
"5",304613.22,364100,59486.78,19.5286271554465
"6",381926.22,679900,297973.78,78.0186759631219
"7",246628.47,396500,149871.53,60.7681384067297
"8",312344.25301244,470300,157955.74698756,50.5710431564332
"9",239541.445,426100,186558.555,77.881535280878
"10",171377.15,321700,150322.85,87.7146399038611
"11",222661.44,360600,137938.56,61.9499092433786
"12",191607.385,315600,123992.615,64.7118142132152
"13",176789.06,252700,75910.94,42.9387089902509
"14",175629.365,218800,43170.635,24.5805335571304
"15",275363.135,539100,263736.865,95.7778407774156
"16",239154.88,446700,207545.12,86.7827242329322
"17",143029.05,249600,106570.95,74.5100033874237
"18",172536.845,312800,140263.155,81.2946098556514
"19",160682.185,295300,134617.815,83.7789298172663
"20",287733.215,509900,222166.785,77.2127698222119
"21",490550.985,762400,271849.015,55.4170765756387
"22",369813.85,552400,182586.15,49.3724477869068
"23",204621.74,435600,230978.26,112.88060594148
"24",133880.345,315200,181319.655,135.434110959305
"25",125118.205,208800,83681.795,66.8821895262964
"26",264152.75,311800,47647.25,18.0377641345774
"27",120865.99,154100,33234.01,27.4965769940742
"28",178335.321159695,232000,53664.678840305,30.092007848658
"29",139034.545,346600,207565.455,149.290563003605
"30",156305.415277915,286700,130394.584722085,83.4229476248408
"31",176273.636263205,328800,152526.363736795,86.5281768562648
"32",144059.88561893,247700,103640.11438107,71.9423828054541
"33",138008.84012946,280900,142891.15987054,103.537686235534
"34",211837.62,315600,103762.38,48.9820363351892
"35",161068.75,273900,112831.25,70.0516083970354
"36",178593.03,278700,100106.97,56.0531225658695
"37",127824.16,211400,83575.84,65.383445508267
"38",134782.33,155400,20617.67,15.2970125980164
"39",159651.345,308500,148848.655,93.2335740735538
"40",178850.74,296600,117749.26,65.8366076651402
"41",156558.82603084,257600,101041.17396916,64.5387912842782
"42",156558.82835023,266500,109941.17164977,70.2235529023161
"43",348681.63,591900,243218.37,69.7537091357523
"44",231810.145,351800,119989.855,51.7621241296407
"45",282063.595,451200,169136.405,59.9639258657254
"46",254612.590854735,380200,125587.409145265,49.3249013034539
"47",204492.885,318100,113607.115,55.5555343649242
"48",249205.57,395800,146594.43,58.824700427041
"49",226673.83033171,359400,132726.16966829,58.5538125305692
"50",188128.3,278800,90671.7,48.1967359509441
"51",201400.365,325500,124099.635,61.618376411582
"52",159393.635,253500,94106.365,59.0402276728302
"53",168800.05,242600,73799.95,43.7203365757297
"54",182845.245,292300,109454.755,59.8619641435029
"55",163903.56,259500,95596.44,58.3248100285314
"56",190189.98,270500,80310.02,42.2262098139976
"57",177175.625,274300,97124.375,54.8181359597292
"58",226724.998007935,333200,106475.001992065,46.962180142279
"59",192251.66,271000,78748.34,40.9610715454941
"60",186453.185,232900,46446.815,24.9107115011202
"61",208783.63511859,289000,80216.36488141,38.4208105371126
"62",224336.555,342100,117763.445,52.494095311395
"63",199725.25,282900,83174.75,41.6445842476102
"64",202293.30231732,319300,117006.69768268,57.8401243849101
"65",186710.895,282200,95489.105,51.1427600408642
"66",273945.73,370400,96454.27,35.2092620680746
"67",366334.765,501700,135365.235,36.9512391214085
"68",183231.81,245700,62468.19,34.0924373338887
"69",186839.75,198700,11860.25,6.34781945490721
"70",201786.93,302100,100313.07,49.712372352362
"71",209904.795,307400,97495.205,46.4473453310107
"72",234902.665,346900,111997.335,47.6781883253645
