"MedianHomeValue2000"	"MedianHomeValue2010"	"MHV.Change.00.to.10"	"MHV.Growth.00.to.12"
206812.275	291300	84487.725	40.8523744540792
200369.525	244900	44530.475	22.2241755576353
191865.095	258000	66134.905	34.4694823203772
236320.07	291100	54779.93	23.1803968236807
125633.625	176800	51166.375	40.7266565778071
209389.375	299100	89710.625	42.8439241484913
180139.29	208200	28060.71	15.5772291541729
147667.83	236400	88732.17	60.0890322557052
337600.096778625	372300	34699.903221375	10.2784044058283
225582.84674504	360600	135017.15325496	59.8525797520235
47547.4965591455	204200	156652.503440854	NA
212741.369153805	301700	88958.630846195	41.8153888921721
145735.005	175000	29264.995	20.080964762035
187870.59	217900	30029.41	15.9840930930168
208615.13272364	280600	71984.86727636	34.5060621137782
208487.39	259900	51412.61	24.6598175553927
199338.685	278600	79261.315	39.7621339781588
125247.055399877	133100	7852.94460012349	6.26996345347312
239926.411553725	372500	132573.588446275	55.2559376801202
214408.83055337	365500	151091.16944663	70.468725125116
184391.505	319100	134708.495	73.0556947295376
186066.622705955	327800	141733.377294045	76.1734561700672
196764.346749215	366400	169635.653250785	86.2125969736749
149342.942551755	313300	163957.057448245	109.785607975031
795594.47426577	1000001	204406.52573423	25.6923008323896
792715.96	1000001	207285.04	26.1487153607958
986385.025	1000001	13615.975	1.38039149570422
808307.415	1000001	191693.585	23.715430718893
770037.48	1000001	229963.52	29.8639385708862
NA	225209.682896467	225209.682896467	NA
148569.815	227300	78730.185	52.992046197271
174469.66510351	255100	80630.33489649	46.2145295279001
174083.105	306400	132316.895	76.0078900247097
154883.716313895	215100	60216.283686105	38.8783825176739
166738.37	240000	73261.63	43.9380749613901
181677.33884398	284900	103222.66115602	56.8164757436617
202560.06	266300	63739.94	31.4671806475571
197413.98147294	331700	134286.01852706	68.0225470988066
202431.205	332500	130068.795	64.2533323851923
164691.339396095	299400	134708.660603905	81.7946232618344
148440.954459235	228200	79759.045540765	53.7311591880585
180139.29	249600	69460.71	38.5594447496712
248690.15	378400	129709.85	52.1572124991681
244824.5	410000	165175.5	67.4668997588068
150389.61689843	201400	51010.38310157	33.9188197653441
199982.96	249400	49417.04	24.7106253452794
20230.2356313895	28100	7869.7643686105	38.9010020051356
20230.2349355725	22000	1769.7650644275	8.74811918924171
184262.65	277200	92937.35	50.4374326538775
202431.205	248700	46268.795	22.8565526742777
224207.7	290000	65792.3	29.3443534722492
232196.71	360700	128503.29	55.3424249637301
231681.29	344800	113118.71	48.8251381887592
184778.07	271000	86221.93	46.66242590368
53217.115	119800	66582.885	125.115547883421
233871.825	289400	55528.175	23.7429946937815
214157.01	327500	113342.99	52.9251832569011
46903.22	102400	55496.78	118.321897728983
110042.17	33100	-76942.17	-69.9206222487252
64169.79	89200	25030.21	39.0062208400557
217249.53	319500	102250.47	47.0659107985182
220986.325	338300	117313.675	53.0863957305955
184133.795	253500	69366.205	37.671631652408
224465.41	322500	98034.59	43.6746980303112
192251.66	252200	59948.34	31.1822223017476
156429.97	172700	16270.03	10.4008394299379
247015.035	365900	118884.965	48.1286351658716
320350.47932899	433000	112649.52067101	35.1644614070711
313250.57733342	366300	53049.42266658	16.9351396310804
169702.035	266400	96697.965	56.9810285421739
289150.6251542	407300	118149.3748458	40.8608401876332
289150.609047325	382000	92849.390952675	32.1110826149007
248947.86	372000	123052.14	49.4288804089338
290696.8851542	396500	105803.1148458	36.3963703256321
331038.885222925	444900	113861.114777075	34.3950876648221
392270.6994	515200	122929.3006	31.3378747859647
361051.71	497500	136448.29	37.7918969003083
292236.997868715	402500	110263.002131285	37.7306785025282
256550.305	357900	101349.695	39.5048039408879
296108.78458809	438500	142391.21541191	48.0874674522024
366077.055	470700	104622.945	28.579487179277
240443.43	316700	76256.57	31.7149734555026
262219.925	424700	162480.075	61.9632833012213
322395.209613435	390500	68104.790386565	21.1246285167281
322395.19376427	450200	127804.80623573	39.6422802534639
234000.68	348600	114599.32	48.9739260586764
247530.455	361500	113969.545	46.0426354405562
233614.115	330500	96885.885	41.4726160703089
48191.77	332700	284508.23	NA
321235.515	443500	122264.485	38.0606997952888
