"","tractid","mhmval00","mhmval12","hinc00","hu00","vac00","own00","rent00","h30old00","empclf00","clf00","unemp00","prof00","dpov00","npov00","ag25up00","hs00","col00","pop00.x","nhwht00","nhblk00","hisp00","asian00","cbsa","cbsaname","mar00","ag15up00","ag18cv00","wds00","p.white","p.black","p.hisp","p.asian","p.hs","p.col","p.prof","p.unemp","p.vacant","pov.rate","p.mar","mhv.00","mhv.10","mhv.change","mhv.growth"
"11","6073001000",172800,360600,35110,2665,76,526,2063,1675,3095,3237,142,1127,4913,583,3636,1217,1110,4948,2732,518,1329,278,"41740","San Diego-Carlsbad-San Marcos, CA",1212,4329,4163,1056,55.2142279708973,10.4688763136621,26.8593371059014,5.61843168957154,63.998899889989,30.5280528052805,36.4135702746365,4.38677788075378,2.85178236397749,11.866476694484,27.997227997228,222661.44,360600,137938.56,61.9499092433786
"12","6073001100",148700,315600,31802,1763,91,351,1321,1083,1851,1973,122,713,3084,541,2297,724,635,3103,1747,379,759,175,"41740","San Diego-Carlsbad-San Marcos, CA",829,2691,2608,670,56.3003544956494,12.2139864647116,24.4601998066387,5.63970351272962,59.1641271223335,27.6447540269917,38.5197190707726,6.18347693867207,5.16165626772547,17.5421530479896,30.8063916759569,191607.385,315600,123992.615,64.7118142132152
"13","6073001200",137200,252700,27247,2931,108,339,2484,1715,3027,3205,178,954,5612,1132,3809,1609,866,5641,2397,1233,1579,323,"41740","San Diego-Carlsbad-San Marcos, CA",1275,4689,4482,1131,42.4924658748449,21.8578266264847,27.991490870413,5.7259351178869,64.9776844316093,22.7356261485954,31.5163528245788,5.55382215288612,3.68474923234391,20.1710620099786,27.191298784389,176789.06,252700,75910.94,42.9387089902509
"14","6073001300",136300,218800,28034,3151,83,356,2712,1959,3342,3586,244,831,6052,1152,4215,1729,781,6068,2555,1125,1914,392,"41740","San Diego-Carlsbad-San Marcos, CA",1476,5134,4942,1125,42.1061305207647,18.5398813447594,31.542518127884,6.46011865524061,59.5492289442467,18.5290628706999,24.8653500897666,6.8042387060792,2.63408441764519,19.035029742234,28.7495130502532,175629.365,218800,43170.635,24.5805335571304
"15","6073001400",213700,539100,37582,1717,71,582,1064,1227,1870,1960,90,776,3271,396,2487,797,802,3283,1924,296,786,202,"41740","San Diego-Carlsbad-San Marcos, CA",900,2825,2759,561,58.6049345111179,9.01614377094121,23.9415169052696,6.15290892476394,64.2943305186972,32.2476879774829,41.4973262032086,4.59183673469388,4.13511939429237,12.1063894833384,31.858407079646,275363.135,539100,263736.865,95.7778407774156
"16","6073001500",185600,446700,31543,1993,50,674,1269,1382,2105,2257,152,859,3988,730,2950,1067,765,4010,2031,428,1194,228,"41740","San Diego-Carlsbad-San Marcos, CA",1157,3315,3213,694,50.6483790523691,10.6733167082294,29.7755610972569,5.6857855361596,62.1016949152542,25.9322033898305,40.8076009501188,6.73460345591493,2.50878073256397,18.3049147442327,34.9019607843137,239154.88,446700,207545.12,86.7827242329322
"17","6073001600",111000,249600,26216,2385,74,318,1993,1303,2447,2706,259,536,6084,1951,3476,1939,397,6126,1430,1123,2925,546,"41740","San Diego-Carlsbad-San Marcos, CA",1476,4468,4138,990,23.3431276526281,18.3317009467842,47.7473065621939,8.9128305582762,67.2036823935558,11.4211737629459,21.9043727012669,9.57132298595713,3.10272536687631,32.0677186061801,33.034914950761,143029.05,249600,106570.95,74.5100033874237
"18","6073001700",133900,312800,26761,2313,89,435,1789,1423,2495,2740,245,635,4887,999,3153,1364,582,4915,1941,915,1633,332,"41740","San Diego-Carlsbad-San Marcos, CA",1207,3932,3758,1071,39.4913530010173,18.616480162767,33.2248219735504,6.75483214649034,61.7189977798922,18.4586108468126,25.4509018036072,8.94160583941606,3.84781668828361,20.4419889502762,30.6968463886063,172536.845,312800,140263.155,81.2946098556514
"19","6073001800",124700,295300,30738,2925,105,386,2434,1511,3116,3387,271,952,6172,1417,3942,1709,773,6254,2434,1059,2281,385,"41740","San Diego-Carlsbad-San Marcos, CA",1362,4830,4577,1266,38.91909178126,16.9331627758235,36.4726574992005,6.15606012152223,62.962962962963,19.60933536276,30.5519897304236,8.00118098612341,3.58974358974359,22.9585223590408,28.1987577639752,160682.185,295300,134617.815,83.7789298172663
"20","6073001900",223300,509900,47866,1511,57,833,621,1272,1810,1868,58,881,2941,196,2405,514,994,2946,2242,94,434,120,"41740","San Diego-Carlsbad-San Marcos, CA",1072,2643,2503,550,76.1031907671419,3.1907671418873,14.7318397827563,4.07331975560081,62.7027027027027,41.3305613305613,48.6740331491713,3.10492505353319,3.77233620119126,6.66439986399184,40.5599697313659,287733.215,509900,222166.785,77.2127698222119
